# time,temperature
1.953907815631262679e+01,3.564369756664862621e+01
1.963927855711422765e+01,3.553807494878704887e+01
1.973947895791583207e+01,3.543348839678239415e+01
1.983967935871743649e+01,3.532992505120152771e+01
1.993987975951903735e+01,3.522737212307917787e+01
2.004008016032064177e+01,3.512581689391792850e+01
2.014028056112224618e+01,3.502524671568821191e+01
2.024048096192384705e+01,3.492564901082833728e+01
2.034068136272545146e+01,3.482701127224447646e+01
2.044088176352705588e+01,3.472932106331063551e+01
2.054108216432865675e+01,3.463256601786871869e+01
2.064128256513026116e+01,3.453673384022845028e+01
2.074148296593186558e+01,3.444181230516744563e+01
2.084168336673346644e+01,3.434778925793117565e+01
2.094188376753507086e+01,3.425465261423295971e+01
2.104208416833667528e+01,3.416239208838325681e+01
2.114228456913827614e+01,3.407101519877388540e+01
2.124248496993988056e+01,3.398051951607415333e+01
2.134268537074148497e+01,3.389089824946209006e+01
2.144288577154308584e+01,3.380214462847936119e+01
2.154308617234469025e+01,3.371425190303130393e+01
2.164328657314629467e+01,3.362721334338691292e+01
2.174348697394789554e+01,3.354102224017885447e+01
2.184368737474949995e+01,3.345567190440342387e+01
2.194388777555110437e+01,3.337115566742060224e+01
2.204408817635270523e+01,3.328746688095402817e+01
2.214428857715430965e+01,3.320459891709098343e+01
2.224448897795591407e+01,3.312254516828242146e+01
2.234468937875751493e+01,3.304129904734295309e+01
2.244488977955911935e+01,3.296085398745084660e+01
2.254509018036072376e+01,3.288120344214802770e+01
2.264529058116232463e+01,3.280234088534008663e+01
2.274549098196392904e+01,3.272425981129627104e+01
2.284569138276553346e+01,3.264695373464947892e+01
2.294589178356713433e+01,3.257041619039628699e+01
2.304609218436873874e+01,3.249464073389690810e+01
2.314629258517033961e+01,3.241962094087523383e+01
2.324649298597194402e+01,3.234535040741879897e+01
2.334669338677354844e+01,3.227182274997880285e+01
2.344689378757514930e+01,3.219903160537012354e+01
2.354709418837675372e+01,3.212697063077126103e+01
2.364729458917835814e+01,3.205563350372440823e+01
2.374749498997995900e+01,3.198501392213539773e+01
2.384769539078156342e+01,3.191510560427372667e+01
2.394789579158316783e+01,3.184590228877255313e+01
2.404809619238476870e+01,3.177739773462869621e+01
2.414829659318637312e+01,3.170958572120262531e+01
2.424849699398797753e+01,3.164246004821847791e+01
2.434869739478957840e+01,3.157601453576405248e+01
2.444889779559118281e+01,3.151024302429079071e+01
2.454909819639278723e+01,3.144513937461381303e+01
2.464929859719438809e+01,3.138069746791189019e+01
2.474949899799599251e+01,3.131691120572745035e+01
2.484969939879759693e+01,3.125377450996658268e+01
2.494989979959919779e+01,3.119128132289904087e+01
2.505010020040080221e+01,3.112942560715822538e+01
2.515030060120240663e+01,3.106820134574120829e+01
2.525050100200400749e+01,3.100760254200871557e+01
2.535070140280561191e+01,3.094762321968513419e+01
2.545090180360721632e+01,3.088825742285850495e+01
