# time,position
1.651651651651651731e+00,4.166585210702681286e-01
1.661661661661661737e+00,4.161696704486189113e-01
1.671671671671671744e+00,4.156166752862606728e-01
1.681681681681681750e+00,4.150001327855896704e-01
1.691691691691691757e+00,4.143206705367081799e-01
1.701701701701701763e+00,4.135789465174244950e-01
1.711711711711711770e+00,4.127756490932528166e-01
1.721721721721721776e+00,4.119114970174134194e-01
1.731731731731731783e+00,4.109872394308325405e-01
1.741741741741741789e+00,4.100036558621424909e-01
1.751751751751751796e+00,4.089615562276813776e-01
1.761761761761761802e+00,4.078617808314934923e-01
1.771771771771771808e+00,4.067051988968520271e-01
1.781781781781781815e+00,4.054920577712804453e-01
1.791791791791791821e+00,4.042226742779319038e-01
1.801801801801801828e+00,4.028978854998571113e-01
1.811811811811811834e+00,4.015185391887427513e-01
1.821821821821821841e+00,4.000854937649112597e-01
1.831831831831831847e+00,3.985996183173209362e-01
1.841841841841841854e+00,3.970617926035661105e-01
1.851851851851851860e+00,3.954729070498766985e-01
1.861861861861861867e+00,3.938338627511187018e-01
1.871871871871871873e+00,3.921455714707938744e-01
1.881881881881881879e+00,3.904089556410398343e-01
1.891891891891891886e+00,3.886249483626301182e-01
1.901901901901901892e+00,3.867944934049740158e-01
1.911911911911911899e+00,3.849185452061167911e-01
1.921921921921921905e+00,3.829980688727394611e-01
1.931931931931931912e+00,3.810340401801589616e-01
1.941941941941941918e+00,3.790274455723280922e-01
1.951951951951951925e+00,3.769792821618355161e-01
1.961961961961961931e+00,3.748905577299057046e-01
1.971971971971971938e+00,3.727622907263990482e-01
1.981981981981981944e+00,3.705955102698117454e-01
1.991991991991991950e+00,3.683912561472759140e-01
2.002002002002002179e+00,3.661505788145593687e-01
2.012012012012012185e+00,3.638745393960660102e-01
2.022022022022022192e+00,3.615642096848355469e-01
2.032032032032032198e+00,3.592206721425433846e-01
2.042042042042042205e+00,3.568450198995009592e-01
2.052052052052052211e+00,3.544383567546554592e-01
2.062062062062062218e+00,3.520017971755899922e-01
2.072072072072072224e+00,3.495364662985235293e-01
2.082082082082082231e+00,3.470434999283108501e-01
2.092092092092092237e+00,3.445240445384425976e-01
2.102102102102102243e+00,3.419792572710453893e-01
2.112112112112112250e+00,3.394103059368814845e-01
2.122122122122122256e+00,3.368183690153492282e-01
2.132132132132132263e+00,3.342046356544826624e-01
2.142142142142142269e+00,3.315703056709517482e-01
2.152152152152152276e+00,3.289165895500623660e-01
2.162162162162162282e+00,3.262447084457560931e-01
2.172172172172172289e+00,3.235558941806105371e-01
2.182182182182182295e+00,3.208513892458391137e-01
2.192192192192192302e+00,3.181324468012909912e-01
2.202202202202202308e+00,3.154002926070504920e-01
2.212212212212212314e+00,3.126551766549535150e-01
2.222222222222222321e+00,3.098979403274932376e-01
2.232232232232232327e+00,3.071298796946245746e-01
2.242242242242242334e+00,3.043522776991093304e-01
2.252252252252252340e+00,3.015664041565161435e-01
2.262262262262262347e+00,2.987735157552207088e-01
2.272272272272272353e+00,2.959748560564052777e-01
2.282282282282282360e+00,2.931716554940592134e-01
2.292292292292292366e+00,2.903651313749786023e-01
2.302302302302302373e+00,2.875564878787665313e-01
2.312312312312312379e+00,2.847469160578328662e-01
2.322322322322322385e+00,2.819375938373943069e-01
2.332332332332332392e+00,2.791296860154745541e-01
2.342342342342342398e+00,2.763243442629039759e-01
2.352352352352352405e+00,2.735227071233200524e-01
2.362362362362362411e+00,2.707259000131668758e-01
2.372372372372372418e+00,2.679350352216955944e-01
2.382382382382382424e+00,2.651512119109641352e-01
2.392392392392392431e+00,2.623755161158373705e-01
2.402402402402402437e+00,2.596090207439869513e-01
2.412412412412412444e+00,2.568527855758914180e-01
2.422422422422422450e+00,2.541078572648361455e-01
2.432432432432432456e+00,2.513752693369135649e-01
2.442442442442442463e+00,2.486560421910226637e-01
2.452452452452452469e+00,2.459511830988695691e-01
2.462462462462462476e+00,2.432616862049671314e-01
2.472472472472472482e+00,2.405885325266350905e-01
2.482482482482482489e+00,2.379326899540001317e-01
2.492492492492492495e+00,2.352951132499956910e-01
2.502502502502502502e+00,2.326767440503621498e-01
2.512512512512512508e+00,2.300785108636467235e-01
2.522522522522522515e+00,2.275013290712034619e-01
2.532532532532532521e+00,2.249461009271933876e-01
2.542542542542542527e+00,2.224137155585843018e-01
2.552552552552552534e+00,2.199050489651508677e-01
2.562562562562562540e+00,2.174209640194746940e-01
2.572572572572572547e+00,2.149623104669441953e-01
2.582582582582582553e+00,2.125299249257546208e-01
2.592592592592592560e+00,2.101246308869081647e-01
2.602602602602602566e+00,2.077472387142138555e-01
2.612612612612612573e+00,2.053985456442876112e-01
2.622622622622622579e+00,2.030793357865521842e-01
2.632632632632632586e+00,2.007903801232371332e-01
2.642642642642642592e+00,1.985324365093790178e-01
2.652652652652652598e+00,1.963062496728212314e-01
2.662662662662662605e+00,1.941125512142139464e-01
2.672672672672672611e+00,1.919520596070142804e-01
2.682682682682682618e+00,1.898254801974862127e-01
2.692692692692692624e+00,1.877335052047005570e-01
2.702702702702702631e+00,1.856768112688606531e-01
2.712712712712712637e+00,1.836556247511594575e-01
2.722722722722722644e+00,1.816703308206698009e-01
2.732732732732732650e+00,1.797216430220485994e-01
2.742742742742742657e+00,1.778102514380438814e-01
2.752752752752752663e+00,1.759368226894947596e-01
2.762762762762762669e+00,1.741019999353315140e-01
2.772772772772772676e+00,1.723064028725755370e-01
2.782782782782782682e+00,1.705506277363392775e-01
2.792792792792792689e+00,1.688352472998263520e-01
2.802802802802802695e+00,1.671608108743315446e-01
2.812812812812812702e+00,1.655278443092406959e-01
2.822822822822822708e+00,1.639368499920307864e-01
2.832832832832832715e+00,1.623883068482698810e-01
2.842842842842842721e+00,1.608826703416172399e-01
2.852852852852852727e+00,1.594203724738231798e-01
2.862862862862862734e+00,1.580018217847291850e-01
2.872872872872872740e+00,1.566274033522677966e-01
2.882882882882882747e+00,1.552974787924627509e-01
2.892892892892892753e+00,1.540123862594288406e-01
2.902902902902902760e+00,1.527724404453719986e-01
2.912912912912912766e+00,1.515779325805893252e-01
2.922922922922922773e+00,1.504291304334689494e-01
2.932932932932932779e+00,1.493262783104902514e-01
2.942942942942942786e+00,1.482695970562235566e-01
2.952952952952952792e+00,1.472592840533304692e-01
2.962962962962962798e+00,1.462955132225636223e-01
2.972972972972972805e+00,1.453784350227668165e-01
2.982982982982982811e+00,1.445081764508749367e-01
2.992992992992992818e+00,1.436848410419139799e-01
3.003003003003002824e+00,1.429085088690011662e-01
3.013013013013012831e+00,1.421792365433446892e-01
3.023023023023022837e+00,1.414970572142439376e-01
3.033033033033032844e+00,1.408619805690894677e-01
3.043043043043042850e+00,1.402739928333628372e-01
3.053053053053052857e+00,1.397330567706368265e-01
3.063063063063062863e+00,1.392391116825753006e-01
3.073073073073072869e+00,1.387920734089332364e-01
3.083083083083082876e+00,1.383918343275567231e-01
3.093093093093092882e+00,1.380382633543829618e-01
3.103103103103102889e+00,1.377312059434403768e-01
3.113113113113112895e+00,1.374704840868483935e-01
3.123123123123122902e+00,1.372558963148175770e-01
3.133133133133132908e+00,1.370872176956496324e-01
3.143143143143142915e+00,1.369641998357374046e-01
3.153153153153152921e+00,1.368865708795648228e-01
3.163163163163162928e+00,1.368540355097069838e-01
3.173173173173172934e+00,1.368662749468300410e-01
3.183183183183182940e+00,1.369229469496913154e-01
3.193193193193192947e+00,1.370237268520393958e-01
3.203203203203202953e+00,1.371688529259592060e-01
3.213213213213213404e+00,1.373582247876924678e-01
3.223223223223223410e+00,1.375915443158217122e-01
3.233233233233233417e+00,1.378685004247989232e-01
3.243243243243243423e+00,1.381887690649453437e-01
3.253253253253253430e+00,1.385520132224515033e-01
3.263263263263263436e+00,1.389578829193772458e-01
3.273273273273273443e+00,1.394060152136517572e-01
3.283283283283283449e+00,1.398960341990735101e-01
3.293293293293293456e+00,1.404275510053102360e-01
3.303303303303303462e+00,1.410001637978990641e-01
3.313313313313313468e+00,1.416134577782463821e-01
3.323323323323323475e+00,1.422670051836278649e-01
3.333333333333333481e+00,1.429603652871885566e-01
3.343343343343343488e+00,1.436930843979427330e-01
3.353353353353353494e+00,1.444646958607740672e-01
3.363363363363363501e+00,1.452747200564354357e-01
3.373373373373373507e+00,1.461226644015491405e-01
3.383383383383383514e+00,1.470080233486066590e-01
3.393393393393393520e+00,1.479302783859688941e-01
3.403403403403403527e+00,1.488888980378660076e-01
3.413413413413413533e+00,1.498833378643974479e-01
3.423423423423423539e+00,1.509130404615320054e-01
3.433433433433433546e+00,1.519774354611077571e-01
3.443443443443443552e+00,1.530759395308320947e-01
3.453453453453453559e+00,1.542079563742817516e-01
3.463463463463463565e+00,1.553728767309027203e-01
3.473473473473473572e+00,1.565700783760102799e-01
3.483483483483483578e+00,1.577989261207891070e-01
3.493493493493493585e+00,1.590587718122931093e-01
3.503503503503503591e+00,1.603489543334455369e-01
3.513513513513513598e+00,1.616687996030389263e-01
3.523523523523523604e+00,1.630176205757351282e-01
3.533533533533533610e+00,1.643947172420653358e-01
3.543543543543543617e+00,1.657993766284300008e-01
3.553553553553553623e+00,1.672308727970989173e-01
3.563563563563563630e+00,1.686884668462111381e-01
3.573573573573573636e+00,1.701714069097750859e-01
3.583583583583583643e+00,1.716789281576684700e-01
3.593593593593593649e+00,1.732102527956382865e-01
3.603603603603603656e+00,1.747645900653008455e-01
